Date,Close
,INFY.NS
2018-01-01,415.2442321777344
2018-01-02,413.6973876953125
2018-01-03,410.3226318359375
2018-01-04,407.95220947265625
2018-01-05,406.5861511230469
2018-01-08,416.2486877441406
2018-01-09,418.37799072265625
2018-01-10,422.7572326660156
2018-01-11,432.2188415527344
2018-01-12,433.283447265625
2018-01-15,434.3682861328125
2018-01-16,451.1218566894531
2018-01-17,462.8733825683594
2018-01-18,463.11456298828125
2018-01-19,459.398193359375
2018-01-22,462.0297546386719
2018-01-23,472.91748046875
2018-01-24,476.41290283203125
2018-01-25,472.2345275878906
2018-01-29,475.2478942871094
2018-01-30,470.3262023925781
2018-01-31,462.1302185058594
2018-02-01,459.8602600097656
2018-02-02,459.31787109375
2018-02-05,457.2889099121094
2018-02-06,445.05523681640625
2018-02-07,445.5775451660156
2018-02-08,455.7019348144531
2018-02-09,445.61767578125
2018-02-12,443.0663757324219
2018-02-14,441.03759765625
2018-02-15,447.7469482421875
2018-02-16,453.2111511230469
2018-02-19,454.6975402832031
2018-02-20,456.7867431640625
2018-02-21,460.9851379394531
2018-02-22,466.3486633300781
2018-02-23,464.29974365234375
2018-02-26,457.4496765136719
2018-02-27,462.1100769042969
2018-02-28,471.10968017578125
2018-03-01,466.3486633300781
2018-03-05,464.400146484375
2018-03-06,462.5720520019531
2018-03-07,459.6593017578125
2018-03-08,464.70147705078125
2018-03-09,467.4134826660156
2018-03-12,476.3929138183594
2018-03-13,475.6094055175781
2018-03-14,474.4040832519531
2018-03-15,475.08721923828125
2018-03-16,470.82843017578125
2018-03-19,460.72406005859375
2018-03-20,467.8754577636719
2018-03-21,469.0606689453125
2018-03-22,466.5696716308594
2018-03-23,469.1007995605469
2018-03-26,464.1390686035156
2018-03-27,463.6368103027344
2018-03-28,454.7176208496094
2018-04-02,456.8670349121094
2018-04-03,458.19281005859375
2018-04-04,451.6641845703125
2018-04-05,461.04541015625
2018-04-06,452.78924560546875
2018-04-09,446.46142578125
2018-04-10,447.3252258300781
2018-04-11,451.68438720703125
2018-04-12,467.09197998046875
2018-04-13,470.64752197265625
2018-04-16,455.28009033203125
2018-04-17,452.0659484863281
2018-04-18,452.3673095703125
2018-04-19,455.1394958496094
2018-04-20,473.4599304199219
2018-04-23,477.17626953125
2018-04-24,463.8377380371094
2018-04-25,466.18798828125
2018-04-26,472.6564636230469
2018-04-27,476.1719055175781
2018-04-30,481.91705322265625
2018-05-02,480.932861328125
2018-05-03,475.10723876953125
2018-05-04,471.31048583984375
2018-05-07,475.28790283203125
2018-05-08,468.2772216796875
2018-05-09,470.3463439941406
2018-05-10,469.2614440917969
2018-05-11,474.3840026855469
2018-05-14,477.8192443847656
2018-05-15,479.9284973144531
2018-05-16,478.0802917480469
2018-05-17,475.2478942871094
2018-05-18,475.36834716796875
2018-05-21,473.88177490234375
2018-05-22,479.6471252441406
2018-05-23,476.0513610839844
2018-05-24,490.55511474609375
2018-05-25,493.488037109375
2018-05-28,487.9033508300781
2018-05-29,488.8275146484375
2018-05-30,486.81866455078125
2018-05-31,494.8941345214844
2018-06-01,490.47479248046875
2018-06-04,497.9475402832031
2018-06-05,490.49481201171875
2018-06-06,497.16424560546875
2018-06-07,503.19049072265625
2018-06-08,506.24407958984375
2018-06-11,507.1881103515625
2018-06-12,505.62127685546875
2018-06-13,512.170166015625
2018-06-14,510.2765808105469
2018-06-15,527.379150390625
2018-06-18,521.6783447265625
2018-06-19,511.0586242675781
2018-06-20,511.6966857910156
2018-06-21,513.0961303710938
2018-06-22,513.6312866210938
2018-06-25,523.7568359375
2018-06-26,525.9795532226562
2018-06-27,522.7483520507812
2018-06-28,530.8161010742188
2018-06-29,538.0604858398438
2018-07-02,549.3797607421875
2018-07-03,557.2210693359375
2018-07-04,553.7018432617188
2018-07-05,528.5110473632812
2018-07-06,528.6138916015625
2018-07-09,534.6234130859375
2018-07-10,535.673095703125
2018-07-11,543.5142822265625
2018-07-12,532.771240234375
2018-07-13,542.2588500976562
2018-07-16,548.618408203125
2018-07-17,546.5809936523438
2018-07-18,544.3787231445312
2018-07-19,541.9707641601562
2018-07-20,554.8954467773438
2018-07-23,558.12646484375
2018-07-24,566.8527221679688
2018-07-25,569.569580078125
2018-07-26,565.2474975585938
2018-07-27,565.329833984375
2018-07-30,556.089111328125
2018-07-31,561.8930053710938
2018-08-01,557.3446044921875
2018-08-02,557.1798706054688
2018-08-03,561.4811401367188
2018-08-06,560.0611572265625
2018-08-07,563.06591796875
2018-08-08,560.925537109375
2018-08-09,568.0053100585938
2018-08-10,570.2691650390625
2018-08-13,579.8598022460938
2018-08-14,579.6744995117188
2018-08-16,588.4213256835938
2018-08-17,588.7505493164062
2018-08-20,569.775390625
2018-08-21,569.6517333984375
2018-08-23,575.18798828125
2018-08-24,567.3260498046875
2018-08-27,582.5971069335938
2018-08-28,586.425048828125
2018-08-29,580.4154052734375
2018-08-30,582.9261474609375
2018-08-31,593.175537109375
2018-09-03,590.3558349609375
2018-09-04,606.841064453125
2018-09-05,600.8726196289062
2018-09-06,598.6087646484375
2018-09-07,603.260009765625
2018-09-10,601.6546630859375
2018-09-11,604.494873046875
2018-09-12,611.5746459960938
2018-09-14,604.0007934570312
2018-09-17,597.620849609375
2018-09-18,591.9818115234375
2018-09-19,592.516845703125
2018-09-21,580.6212768554688
2018-09-24,591.2821655273438
2018-09-25,597.8267211914062
2018-09-26,590.9528198242188
2018-09-27,596.6741333007812
2018-09-28,600.9960327148438
2018-10-01,614.6618041992188
2018-10-03,599.7200927734375
2018-10-04,582.1853637695312
2018-10-05,596.5094604492188
2018-10-08,588.1536865234375
2018-10-09,590.8704223632812
2018-10-10,576.6285400390625
2018-10-11,554.3192749023438
2018-10-12,558.8057250976562
2018-10-15,575.2703247070312
2018-10-16,572.3478393554688
2018-10-17,580.662353515625
2018-10-19,562.7161254882812
2018-10-22,559.7525634765625
2018-10-23,541.3533935546875
2018-10-24,534.9321899414062
2018-10-25,539.8836669921875
2018-10-26,527.2760009765625
2018-10-29,536.5550537109375
2018-10-30,548.9129638671875
2018-10-31,571.2158813476562
2018-11-01,554.821533203125
2018-11-02,551.1183471679688
2018-11-05,554.2389526367188
2018-11-06,554.6135864257812
2018-11-07,562.1448364257812
2018-11-09,548.829833984375
2018-11-12,552.7410888671875
2018-11-13,553.9892578125
2018-11-14,543.5869140625
2018-11-15,546.25
2018-11-16,541.6314086914062
2018-11-19,542.3386840820312
2018-11-20,533.7672119140625
2018-11-21,515.2091064453125
2018-11-22,516.5824584960938
2018-11-26,517.1649780273438
2018-11-27,531.6866455078125
2018-11-28,554.5719604492188
2018-11-29,550.1196899414062
2018-11-30,555.4457397460938
2018-12-03,557.8590698242188
2018-12-04,570.2587280273438
2018-12-05,567.0547485351562
2018-12-06,556.3194580078125
2018-12-07,568.2197875976562
2018-12-10,556.902099609375
2018-12-11,561.3126831054688
2018-12-12,564.6415405273438
2018-12-13,580.6611328125
2018-12-14,587.5682373046875
2018-12-17,577.8733520507812
2018-12-18,563.060302734375
2018-12-19,553.2820434570312
2018-12-20,555.1127319335938
2018-12-21,537.7618408203125
2018-12-24,540.0918579101562
2018-12-26,535.9724731445312
2018-12-27,546.5827026367188
2018-12-28,546.7077026367188
2018-12-31,548.3720092773438
2019-01-01,553.4483032226562
2019-01-02,556.7772216796875
2019-01-03,556.8605346679688
2019-01-04,550.1196899414062
2019-01-07,558.9826049804688
2019-01-08,557.609375
2019-01-09,562.6441650390625
2019-01-10,565.6400146484375
2019-01-11,568.8024291992188
2019-01-14,584.11474609375
2019-01-15,604.6697387695312
2019-01-16,613.1580810546875
2019-01-17,610.287109375
2019-01-18,608.2897338867188
2019-01-21,619.9820556640625
2019-01-22,620.2733764648438
2019-01-23,608.872314453125
2019-01-24,612.51220703125
2019-01-25,611.1316528320312
2019-01-28,609.1234130859375
2019-01-29,609.08154296875
2019-01-30,607.4080810546875
2019-01-31,627.1975708007812
2019-02-01,633.4732666015625
2019-02-04,632.5111694335938
2019-02-05,631.6323852539062
2019-02-06,638.7029418945312
2019-02-07,639.2886962890625
2019-02-08,636.69482421875
2019-02-11,638.2845458984375
2019-02-12,627.9506225585938
2019-02-14,619.2481689453125
2019-02-15,620.8380126953125
2019-02-18,620.0849609375
2019-02-19,606.0692138671875
2019-02-20,619.7922973632812
2019-02-21,613.7255249023438
2019-02-22,614.980712890625
2019-02-25,631.6742553710938
2019-02-26,621.2982788085938
2019-02-27,615.2318115234375
2019-02-28,614.436767578125
2019-03-01,620.7962646484375
2019-03-05,612.9306640625
2019-03-06,612.9306640625
2019-03-07,604.9395751953125
2019-03-08,596.0698852539062
2019-03-11,595.1494140625
2019-03-12,591.5513916015625
2019-03-13,592.8065185546875
2019-03-14,592.72265625
2019-03-15,601.2578735351562
2019-03-18,594.2708740234375
2019-03-19,604.3536987304688
2019-03-20,618.3278198242188
2019-03-22,621.8003540039062
2019-03-25,615.2318115234375
2019-03-26,608.9559936523438
2019-03-27,610.5877075195312
2019-03-28,617.365478515625
2019-04-01,631.8416748046875
2019-04-02,635.4396362304688
2019-04-03,630.3352661132812
2019-04-04,625.8170166015625
2019-04-05,635.3558959960938
2019-04-08,642.0082397460938
2019-04-09,636.4436645507812
2019-04-10,629.8333129882812
2019-04-11,621.4656982421875
2019-04-12,625.6913452148438
2019-04-15,608.7467651367188
2019-04-16,605.9017944335938
2019-04-18,600.0026245117188
2019-04-22,603.3496704101562
2019-04-23,609.3324584960938
2019-04-24,616.2359619140625
2019-04-25,609.6254272460938
2019-04-26,617.5328979492188
2019-04-30,628.7037353515625
2019-05-02,611.5082397460938
